State,Nightly Cost,Max Consecutive Nights,Note,Source
Rhode Island,$18-$28 resident / $36-$55 non-resident,14,"14 nights per 21-day period in peak season, 21 per 28 off peak; 7 nights out after",https://riparks.ri.gov/campgrounds/camping-policies
South Carolina,$15-$35,14,"Cumulative limit 42 of 49 days; 7 days out after reaching it",https://southcarolinaparks.com/rules-regulations
South Dakota,$15-$35,14,"Longer only with the park manager's written consent",https://gfp.sd.gov/camping-regulations/
Tennessee,$15-$50,14,"28 days Dec 1 - Feb 28/29; 3 nights out of the park after",https://tnstateparks.com/lodging/campgrounds
Texas,$10-$35,14,"Some parks set other limits; per-person entrance fee extra",https://tpwd.texas.gov/state-parks/parks/things-to-do/camping
Utah,$20-$60,14,"14 days within any 30-day period; managers may extend",https://stateparks.utah.gov/resources/policies-and-park-rules/
Vermont,$20 resident / $30 non-resident,21,"21 nights most sites, 14 at prime sites, 7 for cabins; 7 days out after",https://www.vtstateparks.com/fees
Virginia,$16-$43,14,"14 nights in a 30-day period in any one park",https://www.dcr.virginia.gov/state-parks/camping-fees
Washington,$12-$65,10,"10 nights per 30-day period per park; 90 nights a year statewide",https://parks.wa.gov/passes-permits/fees
West Virginia,$20-$45,14,"14 nights May 1 through Labor Day",https://wvstateparks.com/rules-and-regulations/
Wisconsin,$15-$30 resident / $20-$35 non-resident,14,"Extensions count toward the 14-day maximum; vehicle admission sticker extra",https://dnr.wisconsin.gov/topic/parks/camping/rules
Wyoming,$10 resident / $18 non-resident,14,"Plus day-use fee and tax; 14 days in a rolling 30-day period per park",https://wyoparks.wyo.gov/index.php/permits-reservations/permits-fees
